Toronto
Zach,P,600,43.743129976246,150.981498393932,26.0923490191167,1.22948241451336,11.73725667424,4.5,
Mel,P,600,43.5520622383727,150.836487043082,24.8502841090296,2.45772040638754,11.7219571796751,4.5,
John,P,600,46.991281520092,153.426005782622,25.0767690293584,2.48012001389259,11.9973480818427,4.5,
Jason,P,600,54.6339910350237,159.023660054301,25.5800688523114,2.52989691945937,12.6093278644372,4.5,
Doug,3B,600,43.2408,160.3466496,20.56896,3.91789714285714,3,8,
Rudy,CF,600,41.2664,156.445408,21.4361142857143,3.4896,5,7,
Walker,RF,600,84.1384,165.075712,35.3238857142857,5.7504,28,7,
Eddie,LF,600,102.5968,165.6352656,43.10568,3.74832,40,4,
Freddy,1B,600,81.1064,171.234888,30.5717142857143,3.39685714285714,20,5,
Alvin,2B,600,35.8144,149.509184,21.6975428571429,1.88674285714286,7,4,
Donny,SS,600,38.3304,146.034096,24.8084571428571,2.15725714285714,12,4,
Calvin,Ca,600,22.388,139.782104,19.4704457142857,0.811268571428572,5,2,
Wade,DH,600,49.2984,148.689432,28.6803428571429,2.49394285714286,18,4

