Minnesota
Craig,P,600,45.8448750928522,152.567700063738,26.2376007949443,1.23632673902879,11.9055511144535,4.5,
Curtis,P,600,41.2592493838932,149.085805245245,24.6992941621437,2.4427873347175,11.5383632448968,4.5,
Felix,P,600,43.5520622383727,150.836487043082,24.8502841090296,2.45772040638754,11.7219571796751,4.5,
Tommy,P,600,51.0037040154311,156.391746643641,25.3410014364088,2.50625288931515,12.3186374677048,4.5,
Benny,3B,600,60.7248,158.0076336,29.1327771428571,3.97265142857143,18,6,
Elliot,RF,600,45.2472,158.6593008,22.07448,3.59352,6,7,
Gordon,CF,600,73.2408,151.7066496,38.2993371428571,3.33037714285714,33,4,
Ozzie,1B,600,66.2664,149.445408,36.3373714285714,3.15977142857143,30,4,
Paul,LF,600,55.7952,147.4795008,32.47416,2.82384,24,4,
Ernest,Ca,600,30.8528,143.9942416,21.9017314285714,1.39798285714286,8,3,
Bert,SS,600,46.2664,155.045408,23.7202285714286,2.06262857142857,10,4,
Jimmy,2B,600,29.3368,147.2311056,18.9569828571429,0.789874285714286,4,2,
Spiros,DH,600,55.2728,151.4341616,30.0114514285714,2.60969142857143,20,4



